Ctime,Freq,Array,Offset X,Error Offset X,Offset Y,Error Offset Y,Modulus Offset,Elevation,Azimuth,Elevation Sun,Azimuth Sun,Angular Distance
1537091769.0,150,ar4,-0.1741,0.0228,0.7151,0.0239,0.7359883287118077,0.8311257897996996,5.416105734788803,-0.13769952946253516,1.5800491732845858,2.232456358383467
1537094548.0,150,ar4,-0.0761,0.0209,0.7348,0.024,0.7387301604781005,0.8311257897996996,5.416105734788803,0.048384788468874625,1.5014223581918882,2.0332653974415225
1537095206.0,150,ar4,-0.0756,0.0096,0.6254,0.0095,0.6299527918820584,0.8311257897996996,5.416105734788803,0.09233934532392364,1.4825522516041785,1.98597438067745
1537096648.0,150,ar4,-0.3441,0.0155,0.9707,0.0156,1.029885090677596,0.7004006288253245,4.105188933615863,0.18838408279112562,1.4402186772662056,2.149154995730696
1537101434.0,150,ar4,-0.1935,0.0101,2.2746,0.012,2.2828156758704807,0.7004006288253245,4.105188933615863,0.501892393121876,1.2792748890600376,1.9040271365633457
1537102749.0,150,ar4,-0.308,0.0159,1.4853,0.0163,1.5168981804986121,0.7004006288253245,4.105188933615863,0.5855942416367534,1.2253613676189554,1.8330530584649973
1537103406.0,150,ar4,-0.31,0.0111,1.1941,0.0139,1.2336834318414105,0.7004006288253245,4.105188933615863,0.6268040888720098,1.196018440292117,1.797266443991702
1537104083.0,150,ar4,-0.3248,0.0192,0.8121,0.0219,0.8746436131362305,0.7004006288253245,4.105188933615863,0.6687578711653446,1.1637862593582953,1.7602209012217849
1537105398.0,150,ar4,-0.2606,0.0173,0.3193,0.0186,0.4121466365263703,0.7004006288253245,4.105188933615863,0.7484524380997597,1.0942659839360613,1.6879290964663685
1537106055.0,150,ar4,-0.207,0.0055,0.146,0.0068,0.2533081127796739,0.7004006288253245,4.105188933615863,0.787189532597439,1.0554586178650165,1.6517193416062594
1537110551.0,150,ar4,-0.1154,0.0123,1.2653,0.0099,1.27055155346015,0.7874925584998415,0.7072074129081024,1.0192939723756766,0.6776053230132288,0.23250544821363675
1537111209.0,150,ar4,-0.019,0.0036,1.4178,0.0036,1.417927304201453,0.7874925584998415,0.7072074129081024,1.0456236351508978,0.5997131743549636,0.26601261475346843
1537119736.0,150,ar4,0.805,0.019,2.0107,0.019,2.165857679996541,0.7874925584998415,0.7072074129081024,1.0209911257432156,5.607800155843523,0.8323473469569018
1537142108.0,150,ar4,-0.0899,0.0121,0.4807,0.0129,0.4890342523791151,0.7004006288253245,2.1458823153270283,-0.3742395701470864,4.593786070354895,2.4699628928779642
1537144029.0,150,ar4,-0.0647,0.0132,0.3216,0.0135,0.3280436708732543,0.7004006288253245,2.1458823153270283,-0.5013759665744915,4.530014490952574,2.4930074580180266
1537144687.0,150,ar4,-0.0921,0.0101,0.3568,0.0103,0.3684951153000539,0.7004006288253245,2.1458823153270283,-0.5445962328520273,4.506384739376278,2.495312564787035
1537147997.0,150,ar4,-0.046,0.0209,0.2289,0.0204,0.2334763585462134,0.7004006288253245,2.1458823153270283,-0.7577946000338875,4.365506193132867,2.463183110555958
1537149927.0,150,ar4,-0.0761,0.0141,0.1068,0.0156,0.13113904834182685,0.7004006288253245,2.1458823153270283,-0.8767607291119663,4.256584302823266,2.414081255331337
1537151900.0,150,ar4,-0.0845,0.0102,0.1171,0.0108,0.14440450131488286,0.7004006288253245,2.1458823153270283,-0.9908863102615624,4.110014850534904,2.345808749121959
1537153892.0,150,ar4,-0.0488,0.0116,-0.044,0.0127,0.06570722943481942,0.7004006288253245,2.1458823153270283,-1.0927251046955235,3.904977055018263,2.2628344285897257
